job;salary;id;city;year;age
Повар;194619;1352384;Куэнка;2004;48
Косметолог;108541;7602275;Овьедо;2006;18
Продавец;48293;3432088;Хихон;2007;56
Продавец;130853;8399854;Краков;2008;53
Строитель;91298;8646387;Аликанте;2013;33
Водитель;32235;8415559;Вильнюс;2017;61
Врач;60315;9212378;Любляна;2006;27
Инженер;198209;4689991;Гранада;2000;57
Врач;89134;9183281;Эль-Пуэрто-де-Санта-Мария;2000;63
Программист;38436;7227841;Бланес;2019;29
Медсестра;190346;9881216;Будапешт;2010;41
Медсестра;50733;7306203;Хельсинки;2019;36
Продавец;52634;7175224;Тирана;2017;31
Оператор call-центра;95726;3702771;Хихон;1999;46
Бухгалтер;103400;6221836;Трухильо;2001;49
Инженер;120900;2682496;Душанбе;2018;64
Врач;22024;9868493;Картахена;2005;64
Продавец;132759;6275222;Семана;2003;42
Повар;27501;2674999;Луарка;2005;63
Бухгалтер;50299;9138171;Осера;1999;29
Повар;150749;1259184;Льейда;2022;39
Архитектор;95765;6130093;Тбилиси;2012;39
Врач;24157;7286739;Сантьяго-де-Компостела;2001;60
Бухгалтер;114740;7730920;Баку;2001;18
Повар;194205;9785681;Санхенхо;2005;24
Архитектор;146043;2991673;Рига;2002;36
Медсестра;137280;2158223;Хихон;1999;57
Программист;70223;8933942;Минск;2011;48
Менеджер;151265;3325869;Бланес;2016;33
Косметолог;185232;2722663;Севилья;2010;45
Психолог;48221;1648423;Санкт-Петербург;2022;64
IT-специалист;125820;6608950;Мартоса;2018;56
Продавец;131489;9637656;Сараево;2007;45
IT-специалист;69960;1426103;Вильнюс;2009;52
IT-специалист;71542;8236490;Минск;1999;53
Оператор call-центра;32004;7176911;Трухильо;2022;18
Архитектор;156017;8914810;Вильнюс;2014;47
Программист;48463;3366648;Лас-Росас;2022;36
Менеджер;146553;4864892;Виго;2000;39
IT-специалист;96834;9698844;Скопье;2022;51
Продавец;172611;1320623;Мерида;2007;54
Инженер;115266;4554500;Картахена;2002;40
Бухгалтер;179123;6612897;Санкт-Петербург;2001;39
Строитель;184106;6621243;Душанбе;2002;28
Строитель;102495;8285789;Бильбао;2004;54
Инженер;117392;4559340;Будапешт;1999;55
IT-специалист;50411;1665271;Белград;2019;29
Повар;26805;1790993;Картахена;2005;42
Косметолог;37411;7953840;Хельсинки;2000;26
Водитель;198203;6697617;Загреб;2010;39
Менеджер;197049;3183657;Краков;2017;35
IT-специалист;145702;8747577;Картахена;2004;28
Повар;158217;2068037;Бильбао;2006;40
Архитектор;86846;2510074;Таллин;2002;35
Продавец;73754;8520915;Навалькарнеро;2022;58
Водитель;154083;5166743;Скопье;2017;45
